year,cell,flow,doxx,bodx,nh4x,no3x,orgn,orgp,po4x,totn,totp,tssx
1996,     4, 0.161E+02, 0.629E+04, 0.219E+04, 0.665E+03, 0.149E+04, 0.254E+03, 0.129E+03, 0.342E+03, 0.241E+04, 0.471E+03, 0.487E+05
1997,     4, 0.160E+02, 0.623E+04, 0.209E+04, 0.822E+03, 0.149E+04, 0.287E+03, 0.111E+03, 0.285E+03, 0.260E+04, 0.396E+03, 0.484E+05
1998,     4, 0.161E+02, 0.627E+04, 0.210E+04, 0.204E+03, 0.238E+04, 0.226E+03, 0.124E+03, 0.310E+03, 0.281E+04, 0.434E+03, 0.486E+05
1999,     4, 0.159E+02, 0.623E+04, 0.225E+04, 0.212E+03, 0.249E+04, 0.236E+03, 0.114E+03, 0.303E+03, 0.293E+04, 0.417E+03, 0.485E+05
2000,     4, 0.160E+02, 0.626E+04, 0.138E+04, 0.176E+03, 0.204E+04, 0.194E+03, 0.108E+03, 0.278E+03, 0.241E+04, 0.386E+03, 0.479E+05
1991,    74, 0.236E+03, 0.102E+06, 0.435E+06, 0.140E+05, 0.249E+04, 0.304E+06, 0.144E+05, 0.353E+05, 0.321E+06, 0.497E+05, 0.605E+06
1992,    74, 0.292E+03, 0.127E+06, 0.542E+06, 0.135E+05, 0.248E+04, 0.302E+06, 0.116E+05, 0.238E+05, 0.318E+06, 0.354E+05, 0.747E+06
1993,    74, 0.308E+03, 0.134E+06, 0.572E+06, 0.136E+05, 0.247E+04, 0.319E+06, 0.122E+05, 0.251E+05, 0.335E+06, 0.373E+05, 0.786E+06
1994,    74, 0.311E+03, 0.134E+06, 0.576E+06, 0.140E+05, 0.278E+04, 0.245E+06, 0.130E+05, 0.267E+05, 0.262E+06, 0.397E+05, 0.791E+06
1995,    74, 0.318E+03, 0.137E+06, 0.588E+06, 0.160E+05, 0.345E+04, 0.213E+06, 0.127E+05, 0.260E+05, 0.233E+06, 0.387E+05, 0.808E+06
1996,    74, 0.328E+03, 0.141E+06, 0.606E+06, 0.186E+05, 0.352E+04, 0.293E+06, 0.131E+05, 0.269E+05, 0.315E+06, 0.399E+05, 0.831E+06
1997,    74, 0.339E+03, 0.146E+06, 0.628E+06, 0.157E+05, 0.341E+04, 0.293E+06, 0.135E+05, 0.276E+05, 0.312E+06, 0.411E+05, 0.859E+06
1998,    74, 0.324E+03, 0.140E+06, 0.599E+06, 0.136E+06, 0.428E+05, 0.125E+06, 0.150E+05, 0.244E+05, 0.304E+06, 0.394E+05, 0.823E+06
1999,    74, 0.317E+03, 0.137E+06, 0.586E+06, 0.180E+06, 0.464E+05, 0.156E+06, 0.173E+05, 0.397E+05, 0.382E+06, 0.570E+05, 0.803E+06
2000,    74, 0.317E+03, 0.137E+06, 0.581E+06, 0.687E+05, 0.282E+05, 0.589E+05, 0.112E+05, 0.231E+05, 0.156E+06, 0.343E+05, 0.800E+06
1991,    73, 0.448E-01, 0.174E+02, 0.116E+03, 0.182E+03, 0.221E+04, 0.208E+03, 0.824E+02, 0.192E+03, 0.260E+04, 0.275E+03, 0.346E+03
1992,    73, 0.449E-01, 0.175E+02, 0.116E+03, 0.183E+03, 0.222E+04, 0.209E+03, 0.826E+02, 0.193E+03, 0.261E+04, 0.275E+03, 0.347E+03
1993,    73, 0.448E-01, 0.174E+02, 0.116E+03, 0.182E+03, 0.221E+04, 0.208E+03, 0.824E+02, 0.192E+03, 0.260E+04, 0.275E+03, 0.346E+03
1994,    73, 0.448E-01, 0.174E+02, 0.116E+03, 0.182E+03, 0.221E+04, 0.208E+03, 0.824E+02, 0.192E+03, 0.260E+04, 0.275E+03, 0.346E+03
1995,    73, 0.448E-01, 0.174E+02, 0.116E+03, 0.182E+03, 0.221E+04, 0.208E+03, 0.824E+02, 0.192E+03, 0.260E+04, 0.275E+03, 0.346E+03
